Dataset:./datasets/CAIDA/0.dat,,,,,,,Join Ground Truth = 6.79372e+08
Memory,AAE,ARE,VAR,Max,Min,Insert time,Join time
10000,15936143.25,0.023457171,3.89622E+14,55534785,8229,0.07278813,0.00000287
20000,13203433.93,0.019434765,2.76358E+14,59121805,219840,0.07251919,0.00000451
30000,9580393.72,0.014101839,1.49526E+14,43425753,127822,0.0715911,0.00000672
40000,10723072.29,0.015783802,1.83884E+14,45699522,109232,0.07149566,0.00000805
50000,8082696.01,0.011897306,1.04432E+14,27588578,40492,0.07176786,0.00001011
60000,7007254.27,0.010314312,9.5508E+13,41723833,14241,0.07169565,0.00001159
70000,5890818.3,0.008670977,5.2939E+13,23518224,21929,0.0716545,0.00001343
80000,6410264.96,0.009435575,6.21728E+13,21261669,17308,0.07146817,0.00001509
90000,4689184.55,0.006902235,4.27692E+13,31549659,49137,0.07169764,0.00001704
100000,5848272.5,0.008608352,5.49774E+13,22586757,128702,0.07354908,0.00001949
110000,5009479.78,0.007373693,3.77799E+13,18348644,55343,0.07263892,0.00002085
120000,3892402.2,0.005729413,2.58763E+13,13741783,8641,0.07380711,0.00002282
130000,5274896.81,0.007764373,4.48745E+13,20279514,17634,0.07271173,0.00002458
140000,4041980.02,0.005949584,2.6919E+13,18873204,54339,0.07176492,0.00002607
150000,4295262.85,0.006322403,3.25423E+13,18817917,128009,0.07192924,0.00002768
160000,4102596.44,0.006038808,2.69403E+13,14330288,14938,0.07234589,0.00002991
170000,3643367.37,0.005362847,2.26746E+13,17631212,186546,0.07175266,0.00003052
180000,3591646.44,0.005286716,2.52393E+13,26704441,64078,0.07183895,0.00003246
190000,3304157.83,0.004863548,1.87994E+13,14178281,17205,0.07187359,0.00003415
200000,3763021.83,0.005538972,2.39681E+13,19249980,12175,0.07209969,0.00003689
10000,18976840.14,0.027932918,6.9538E+14,133739643,545055,0.17089945,0.0051543
20000,12968408.21,0.01908882,2.69034E+14,58097123,95330,0.1722852,0.00526877
30000,9995894.9,0.014713435,1.56454E+14,38786296,228908,0.16898569,0.00509336
40000,9893312.67,0.01456244,1.43256E+14,30616602,13349,0.17330137,0.00534015
50000,6692775.31,0.009851416,6.7445E+13,22983697,35120,0.21049099,0.00671158
60000,6599880.49,0.009714679,7.03837E+13,25665008,71516,0.2123108,0.00684691
70000,5352659.39,0.007878835,4.47965E+13,19753604,10161,0.17313397,0.00529442
80000,5685682.53,0.008369028,5.07926E+13,23762624,2329,0.17349752,0.00527352
90000,4446753.5,0.006545389,3.17133E+13,16187210,6069,0.17323207,0.00529796
100000,4883811.14,0.007188715,3.97921E+13,22745996,18874,0.17282914,0.00533542
110000,4723848.71,0.006953259,3.45429E+13,20347026,65354,0.17367983,0.00534129
120000,3882964.13,0.00571552,2.45604E+13,13618735,75104,0.17327473,0.00542485
130000,4791948.67,0.007053498,3.75939E+13,20040982,5153,0.19859726,0.00654906
140000,3802787.16,0.005597504,2.42237E+13,15596016,26802,0.2413149,0.0079242
150000,4153253.25,0.006113372,2.79997E+13,16093237,35680,0.22902759,0.00757053
160000,3827792.06,0.00563431,2.33552E+13,14180551,1842,0.21578814,0.00728724
170000,3246086.78,0.00477807,1.64568E+13,12729501,215302,0.19722623,0.00645264
180000,3259995.52,0.004798543,1.72222E+13,10411412,18937,0.17739417,0.00571943
190000,3078786.54,0.004531813,1.61977E+13,13559499,43314,0.18888099,0.00625061
200000,3333259.14,0.004906383,2.04707E+13,19419834,51361,0.20987423,0.00711455
10000,1803198126,2.654213476,3.25198E+18,1861857504,679371928,0.02958614,0.00000258
